Year,Motorway,Single,total,mean
2006,270,4804,5074,2537
2007,269,4714,4983,2492
2008,423,4610,5033,2517
2009,663,4482,5145,2573
2010,900,4189,5089,2545
2011,900,4189,5089,2545
2012,900,4189,5089,2545
2013,897,4110,5007,2504
2014,897,4110,5007,2504
